Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Planeta do Futebol,@futebol_info,2022-09-25T13:39:39.000Z,"CBF ainda não escolheu o treinador para substituir Tite na Seleção Brasileira, mas 3 nomes no futebol brasileiro agradam: Fernando Diniz, Dorival Júnior e Abel Ferreira, especialmente Diniz e Dorival.

 
@GoalBR
 | 
@simpraisa
 Lucas Merçon/FFC | Gilvan de Souza | Cesar Greco",1.347,1.426,"10,7 mil"
Pulhinha,@pulhinha,2022-09-27T15:02:50.000Z,"Jogai por nós! 
@CBF_Futebol
 
Obrigado 
@MastercardBR
 pelo empréstimo.  Nós apoiamos o Pro Player 
@Clovinho_81
 no #PES2023",,,
Jogada de camisa 10,@jogadadcamisa10,2022-09-27T14:28:04.000Z,"Espero que hoje seja um bom dia! #sdv
#Futebol",,,
Futebol,@foidepenalti,2022-09-26T12:50:04.000Z,Se eu ganhasse 1 dólar toda vez que eu passei raiva com meu time:,1,8,80
Mundo Futebol,@ofutemundo,2022-09-26T15:45:03.000Z,Quando a professora pergunta qual foi o maior imperador da história:,,6,65
SPLIT futebol,@splitfutebol,2022-09-25T15:53:00.000Z,Rapaziada pintando rua aqui é nesse pique,,,14
Planeta do Futebol,@futebol_info,2022-09-26T13:03:35.000Z,"De folga no Flamengo, Diego Ribas joga futevôlei com Robinho em Santos.

 
@UOLEsporte
 
 Reprodução",1.216,2.061,"10,1 mil"
Futebol Nostálgico!,@futnostalgico,2022-09-25T18:02:46.000Z,"2007, o ano vencedor de Kaká.

Nostálgico!",,,30
JocinaldoDosTeclados,@JocinaldoMirand,2022-09-27T15:33:54.000Z,"Boa tarde André. Esporte do Pará sem agenda de futebol neste final de ano,mas espero que em 2023 a história seja outra, muitas conquistas. Abraço s a todos! SOU VERMELHO #gepara",,,
Coisas que rodam a economia,@roda_a_economia,2022-09-27T01:18:01.000Z,"Dia 66: Sérvia
o jogador de futebol Dusan Vlahovic roda a economia da Sérvia",,2,3
Jogada de camisa 10,@jogadadcamisa10,2022-09-26T16:20:24.000Z,"Espero que hoje seja um bom dia! #sdvtodos
#futebol",,,
Coys BR,@coys_br,2022-09-26T19:25:28.000Z,"A falta de conhecimento do futebol internacional do departamento do esporte no grupo Globo é gigante. 
@rogerflores
 Só falando abobrinha hoje. Parece que nunca assistiu um jogo da premier League.
#UEFANationsLeague2022",1,2,15
Mundo do Futebol,@ofutmundo,2022-09-26T19:24:03.000Z,Mercedez-Benz Stadium em Atlanta nos Estados Unidos  ,1,26,684
Mundo do Futebol,@futeinfos,2022-09-25T19:27:03.000Z, Cristiano Ronaldo acabando com a Holanda na EURO 2012.,12,281,2.713
Ralph Macchio Brasil,@Macchiobrasil,2022-09-25T15:57:22.000Z,"Ralph Macchio curtindo futebol americano nesse domingo. 

 98.7FM ESPN New York via twitter",,6,18
Futebol Brasileiro,@BrasilFut_,2022-09-27T00:58:29.000Z,"FIM DO JOGO 
CSA 2X0 TOMBENSE
#SerieB",,,8
Miguel Almeida,@lampiaodonorte_,2022-09-26T13:14:46.000Z,"Esta palhaçada do Taremi está a ser incrível! O maior piscineiro que alguma vez o futebol já viu, sente se ofendido e perseguido por dizerem que o menino simula faltas completamente inexistentes! Estou a adorar! Tadinho do pequeno Taremi ",,,16
Planeta do Futebol,@futebol_info,2022-09-27T13:29:18.000Z,"Internacional se prepara para perder Edenílson em 2023 e já está no mercado em busca de reposição.

Nos últimos dias, o Colorado consultou Patrick de Lucca, do Bahia, e Walisson, da Ponte Preta.

 
@UOLEsporte
 Ricardo Duarte",61,26,454
Infos Futebol,@lnfosFutebol,2022-09-25T19:33:03.000Z,Imagem de uma infância feliz,,4,76
Suruiense Futebol Clube,@suruiensefc,2022-09-26T12:37:17.000Z,O CÉU HOJE AMANHECEU VERMELHO E BRANCO ,,18,66
